epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,1174.03,0.59504,0.83188,0.8553,0.86464,1,0.98037,0.83067,0.6603,1.1574,0.90507,0.000148694,0.000148694,0.000148694
70,1190.61,0.61104,0.88976,0.8718,0.86368,1,0.98037,0.82407,0.61206,1.20703,0.88944,0.00014419,0.00014419,0.00014419
71,1207.36,0.60418,0.85226,0.84356,0.91377,0.99253,0.98037,0.82552,0.59313,1.24071,0.88349,0.000139685,0.000139685,0.000139685
72,1223.61,0.60195,0.84979,0.83848,0.93439,0.98749,0.98037,0.82033,0.59921,1.22923,0.88594,0.000135181,0.000135181,0.000135181
73,1240.09,0.54381,0.82893,0.83004,0.93304,0.98898,0.98037,0.81418,0.63542,1.26733,0.89437,0.000130676,0.000130676,0.000130676
74,1256.73,0.55495,0.80619,0.83379,0.93372,0.9914,0.98037,0.81653,0.5962,1.29804,0.8902,0.000126172,0.000126172,0.000126172
75,1273.27,0.62739,0.84095,0.84899,0.9313,0.99757,0.97449,0.82455,0.55679,1.30338,0.88602,0.000121667,0.000121667,0.000121667
76,1289.72,0.57015,0.84742,0.85506,0.93417,0.99754,0.97449,0.8299,0.55942,1.3514,0.88686,0.000117163,0.000117163,0.000117163
77,1306.07,0.63533,0.83024,0.8401,0.94542,0.99786,0.98037,0.8242,0.58367,1.32531,0.88961,0.000112658,0.000112658,0.000112658
78,1322.69,0.5874,0.82105,0.83739,0.91886,1,0.98037,0.81295,0.61505,1.30934,0.89581,0.000108154,0.000108154,0.000108154
79,1339.42,0.53834,0.81796,0.80679,0.90712,1,0.98037,0.81779,0.61247,1.27893,0.89361,0.000103649,0.000103649,0.000103649
80,1355.7,0.56072,0.80641,0.84321,0.90473,1,0.98037,0.82576,0.59185,1.24981,0.88886,9.91445e-05,9.91445e-05,9.91445e-05
81,1372.03,0.56961,0.80429,0.85044,0.91035,0.99943,0.98037,0.82708,0.58069,1.22724,0.88627,9.464e-05,9.464e-05,9.464e-05
82,1388.52,0.55916,0.87191,0.85239,0.91703,0.99879,0.98037,0.82087,0.59316,1.26367,0.89111,9.01355e-05,9.01355e-05,9.01355e-05
83,1405.1,0.56926,0.8296,0.84422,0.93261,0.99626,0.98037,0.82042,0.5914,1.24347,0.88974,8.5631e-05,8.5631e-05,8.5631e-05
84,1423.12,0.63316,0.86809,0.85668,0.94616,0.99381,0.98037,0.82926,0.54614,1.21021,0.88104,8.11265e-05,8.11265e-05,8.11265e-05
85,1441.27,0.48749,0.76499,0.83773,0.94158,0.98629,0.98037,0.84139,0.56138,1.19126,0.88129,7.6622e-05,7.6622e-05,7.6622e-05
86,1460.94,0.4922,0.81573,0.81204,0.92764,0.97182,0.97449,0.83905,0.57649,1.22146,0.88273,7.21175e-05,7.21175e-05,7.21175e-05
87,1479.27,0.54416,0.88032,0.82991,0.93426,0.99776,0.97449,0.84071,0.56977,1.22591,0.88237,6.7613e-05,6.7613e-05,6.7613e-05
88,1496.65,0.48298,0.74665,0.81847,0.9381,0.99734,0.97449,0.84556,0.55163,1.26688,0.88121,6.31085e-05,6.31085e-05,6.31085e-05
89,1514.16,0.56452,0.76032,0.8639,0.94113,0.99483,0.97449,0.84356,0.53842,1.28772,0.87954,5.8604e-05,5.8604e-05,5.8604e-05
90,1531.55,0.5012,0.74712,0.8335,0.94416,0.99345,0.97449,0.84166,0.54087,1.31537,0.87802,5.40995e-05,5.40995e-05,5.40995e-05
91,1549.57,0.55698,0.866,0.83786,0.94465,0.99381,0.97449,0.83219,0.53489,1.29176,0.87566,4.9595e-05,4.9595e-05,4.9595e-05
92,1567.01,0.54348,0.78268,0.8402,0.94361,0.99434,0.97449,0.8351,0.5302,1.25182,0.87506,4.50905e-05,4.50905e-05,4.50905e-05
93,1584.61,0.51828,0.77229,0.85234,0.944,0.99434,0.97449,0.83616,0.53418,1.23102,0.87679,4.0586e-05,4.0586e-05,4.0586e-05
94,1601.94,0.52723,0.7308,0.82529,0.94242,0.99343,0.97449,0.8423,0.53702,1.21364,0.87771,3.60815e-05,3.60815e-05,3.60815e-05
95,1619.29,0.50495,0.79126,0.8506,0.94105,0.99242,0.97449,0.84637,0.52516,1.21631,0.87602,3.1577e-05,3.1577e-05,3.1577e-05
96,1636.67,0.45819,0.73018,0.85226,0.94008,0.9915,0.97449,0.84434,0.5136,1.2178,0.87362,2.70725e-05,2.70725e-05,2.70725e-05
97,1653.73,0.48583,0.8819,0.83687,0.93917,0.99181,0.97154,0.83737,0.51097,1.23458,0.87228,2.2568e-05,2.2568e-05,2.2568e-05
98,1671.58,0.49663,0.73344,0.83442,0.93767,0.99217,0.97154,0.83518,0.50574,1.23185,0.87136,1.80635e-05,1.80635e-05,1.80635e-05
99,1692.21,0.49219,0.74226,0.84242,0.9381,0.9919,0.97154,0.83756,0.49958,1.22506,0.87066,1.3559e-05,1.3559e-05,1.3559e-05
100,1712.31,0.50919,0.7433,0.80817,0.93939,0.99207,0.97154,0.836,0.49701,1.22526,0.87027,9.0545e-06,9.0545e-06,9.0545e-06
